date,gal_hour_model20T-1,gal_hour_model20T-2,gal_hour_model30T-1,gal_hour_model30T-2,gal_hour_model30T-3,gal_hour_model36T-1,gal_hour_model36T-2,gal_hour_model39T-1,gal_hour_model39T-2,gal_hour_model49T-1,hours_machine_model20T-1,hours_machine_model20T-2,hours_machine_model30T-1,hours_machine_model30T-2,hours_machine_model30T-3,hours_machine_model36T-1,hours_machine_model36T-2,hours_machine_model39T-1,hours_machine_model39T-2,hours_machine_model49T-1,idle_percentage_model20T-1,idle_percentage_model20T-2,idle_percentage_model30T-1,idle_percentage_model30T-2,idle_percentage_model30T-3,idle_percentage_model36T-1,idle_percentage_model36T-2,idle_percentage_model39T-1,idle_percentage_model39T-2,idle_percentage_model49T-1,operating_percentage_model20T-1,operating_percentage_model20T-2,operating_percentage_model30T-1,operating_percentage_model30T-2,operating_percentage_model30T-3,operating_percentage_model36T-1,operating_percentage_model36T-2,operating_percentage_model39T-1,operating_percentage_model39T-2,operating_percentage_model49T-1,performance_model20T-1,performance_model20T-2,performance_model30T-1,performance_model30T-2,performance_model30T-3,performance_model36T-1,performance_model36T-2,performance_model39T-1,performance_model39T-2,performance_model49T-1,total_fuel_model20T-1,total_fuel_model20T-2,total_fuel_model30T-1,total_fuel_model30T-2,total_fuel_model30T-3,total_fuel_model36T-1,total_fuel_model36T-2,total_fuel_model39T-1,total_fuel_model39T-2,total_fuel_model49T-1,coal_prod,waste_prod,haul_truck_15.0m3,haul_truck_24.0m3,haul_truck_25.0m3,haul_truck_27.0m3,truck_trips_15.0m3,truck_trips_24.0m3,truck_trips_25.0m3,truck_trips_27.0m3,rainfall_mm
2024-02-25,4.4075,9.7,0.0,0.0,0.0,0.0,0.0,8.7,8.7,11.8,11.713,12.7,0.0,0.0,0.0,0.0,0.0,12.3,14.2,12.7,7.0,23.7,0.0,0.0,0.0,0.0,0.0,11.4,14.1,14.8,93.0,76.3,0.0,0.0,0.0,0.0,0.0,88.6,85.9,85.2,202.5,175.4,0.0,0.0,0.0,0.0,0.0,72.9,250.3,157.2,51.625,123.19,0.0,0.0,0.0,0.0,0.0,107.4,124.3,149.86,230.775,7161.0,9.0,1.0,1.0,6.0,196.0,19.0,21.0,120.0,7.6
2024-02-26,4.2013,0.0,0.0,0.0,0.0,0.0,0.0,9.1,9.1,11.8,14.073,0.0,0.0,0.0,0.0,0.0,0.0,14.3,17.0,15.1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.4,14.8,93.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,90.6,85.2,187.3,0.0,0.0,0.0,0.0,0.0,0.0,180.4,185.4,302.2,59.1249,0.0,0.0,0.0,0.0,0.0,0.0,130.6,155.5,178.18,167.025,10956.0,10.0,1.0,1.0,6.0,302.0,37.0,39.0,169.0,0.0
2024-02-27,4.3146,9.7,0.0,0.0,0.0,0.0,0.0,9.3,9.5,11.8,14.196,14.4,0.0,0.0,0.0,0.0,0.0,14.2,14.8,14.4,7.0,23.7,0.0,0.0,0.0,0.0,0.0,6.3,6.1,14.8,93.0,76.3,0.0,0.0,0.0,0.0,0.0,93.7,93.9,85.2,157.1,91.4,0.0,0.0,0.0,0.0,0.0,253.1,156.7,165.4,61.2499,139.68,0.0,0.0,0.0,0.0,0.0,132.4,142.7,169.92,414.375,12544.0,11.0,1.0,1.0,6.0,335.0,41.0,40.0,205.0,41.1
2024-02-28,4.2986,9.7,0.0,0.0,0.0,0.0,0.0,9.2,9.0,11.8,18.698,19.5,0.0,0.0,0.0,0.0,0.0,18.9,21.0,19.5,7.0,23.7,0.0,0.0,0.0,0.0,0.0,7.4,11.0,14.8,93.0,76.3,0.0,0.0,0.0,0.0,0.0,92.6,89.0,85.2,182.8,162.0,0.0,0.0,0.0,0.0,0.0,137.8,285.0,313.5,80.3749,189.15,0.0,0.0,0.0,0.0,0.0,175.1,191.0,230.1,251.175,13027.0,9.0,1.0,1.0,6.0,325.0,44.0,43.0,223.0,0.0
2024-02-29,4.2439,0.0,0.0,0.0,0.0,0.0,0.0,9.1,9.5,11.8,19.145,0.0,0.0,0.0,0.0,0.0,0.0,19.5,19.5,19.4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,8.2,14.8,92.0,0.0,0.0,0.0,0.0,0.0,0.0,92.3,91.8,85.2,174.2,0.0,0.0,0.0,0.0,0.0,0.0,164.8,130.6,178.8,81.2501,0.0,0.0,0.0,0.0,0.0,0.0,178.7,185.6,228.92,314.925,14098.0,9.0,2.0,1.0,6.0,312.0,54.0,43.0,261.0,0.0
2024-03-01,4.2557,0.0,0.0,0.0,0.0,0.0,0.0,9.1,9.0,11.8,14.598,0.0,0.0,0.0,0.0,0.0,0.0,19.3,19.2,17.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,9.4,14.8,92.0,0.0,0.0,0.0,0.0,0.0,0.0,91.7,90.6,85.2,174.4,0.0,0.0,0.0,0.0,0.0,0.0,201.9,63.3,134.5,62.1251,0.0,0.0,0.0,0.0,0.0,0.0,176.6,173.9,208.86,414.375,15436.0,8.0,1.0,1.0,6.0,415.0,60.0,43.0,248.0,0.0
2024-03-02,4.1706,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,11.8,20.081,0.0,0.0,0.0,0.0,0.0,0.0,19.5,19.6,19.7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,10.7,14.8,90.0,0.0,0.0,0.0,0.0,0.0,0.0,91.8,89.3,85.2,202.5,0.0,0.0,0.0,0.0,0.0,0.0,234.1,258.6,225.1,83.7499,0.0,0.0,0.0,0.0,0.0,0.0,176.9,177.9,232.46,459.0,14919.0,9.0,1.0,1.0,6.0,346.0,56.0,33.0,280.0,0.0
2024-03-03,4.3632,0.0,0.0,0.0,0.0,0.0,0.0,8.7,9.1,0.0,19.252,0.0,0.0,0.0,0.0,0.0,0.0,13.9,14.1,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,9.9,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,90.6,90.1,0.0,202.5,0.0,0.0,0.0,0.0,0.0,0.0,114.2,201.0,0.0,83.9998,0.0,0.0,0.0,0.0,0.0,0.0,122.7,129.8,0.0,255.0,6973.0,8.0,1.0,1.0,6.0,169.0,28.0,7.0,133.0,0.0
2024-03-04,4.1682,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.3,11.8,5.188,0.0,0.0,0.0,0.0,0.0,0.0,13.8,13.6,10.9,13.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,7.4,14.8,87.0,0.0,0.0,0.0,0.0,0.0,0.0,90.6,92.6,85.2,202.5,0.0,0.0,0.0,0.0,0.0,0.0,133.0,195.8,164.6,21.6249,0.0,0.0,0.0,0.0,0.0,0.0,124.7,127.3,128.62,267.75,12244.0,9.0,1.0,1.0,6.0,251.0,47.0,37.0,238.0,0.0
2024-03-06,4.1198,2.6028,0.0,0.0,0.0,0.0,0.0,9.1,8.3,11.8,18.751,9.557,0.0,0.0,0.0,0.0,0.0,19.1,18.8,16.6,7.0,30.0,0.0,0.0,0.0,0.0,0.0,8.4,10.6,14.8,93.0,70.0,0.0,0.0,0.0,0.0,0.0,91.6,89.4,85.2,202.5,113.7,0.0,0.0,0.0,0.0,0.0,95.3,189.9,247.5,77.25,24.875,0.0,0.0,0.0,0.0,0.0,175.1,158.1,195.88,522.75,11913.0,7.0,1.0,1.0,6.0,177.0,45.0,42.0,264.0,0.0
2024-03-08,3.9369,3.3865,0.0,0.0,0.0,0.0,0.0,8.9,9.1,0.0,10.954,11.59,0.0,0.0,0.0,0.0,0.0,17.9,17.4,0.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,8.9,12.6,0.0,90.0,82.0,0.0,0.0,0.0,0.0,0.0,91.1,87.4,0.0,202.5,113.7,0.0,0.0,0.0,0.0,0.0,271.2,198.8,0.0,43.125,39.2499,0.0,0.0,0.0,0.0,0.0,160.5,159.5,0.0,424.575,11214.0,8.0,1.0,1.0,5.0,236.0,51.0,42.0,200.0,13.9
2024-03-11,3.2866,3.8235,0.0,0.0,0.0,0.0,0.0,9.2,9.2,11.8,9.014,5.002,0.0,0.0,0.0,0.0,0.0,14.4,14.3,10.7,9.0,15.0,0.0,0.0,0.0,0.0,0.0,6.9,9.1,14.8,91.0,85.0,0.0,0.0,0.0,0.0,0.0,93.1,90.9,85.2,165.6,113.7,0.0,0.0,0.0,0.0,0.0,35.9,189.9,167.9,29.625,19.125,0.0,0.0,0.0,0.0,0.0,133.4,132.1,126.26,357.0,11226.0,6.0,1.0,1.0,4.0,288.0,65.0,27.0,173.0,6.8
2024-03-12,3.0145,3.2161,0.0,0.0,0.0,0.0,0.0,8.1,8.1,11.8,18.079,17.49,0.0,0.0,0.0,0.0,0.0,19.2,19.0,18.4,18.0,19.0,0.0,0.0,0.0,0.0,0.0,16.7,17.9,14.8,82.0,81.0,0.0,0.0,0.0,0.0,0.0,83.3,82.1,85.2,505.3,113.7,0.0,0.0,0.0,0.0,0.0,263.5,203.6,295.5,54.5,56.2499,0.0,0.0,0.0,0.0,0.0,155.2,154.0,217.12,427.125,12281.0,7.0,1.0,1.0,4.0,336.0,19.0,23.0,230.0,0.0
2024-03-13,3.618,3.0741,0.0,0.0,0.0,0.0,0.0,8.8,8.0,0.0,19.728,10.816,0.0,0.0,0.0,0.0,0.0,16.7,16.9,0.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,10.8,16.6,0.0,84.0,83.0,0.0,0.0,0.0,0.0,0.0,89.2,83.4,0.0,194.5,113.7,0.0,0.0,0.0,0.0,0.0,304.5,213.0,0.0,71.375,33.25,0.0,0.0,0.0,0.0,0.0,148.4,136.1,0.0,363.375,8005.0,7.0,0.0,1.0,4.0,216.0,0.0,34.0,145.0,1.3
2024-03-14,3.5303,3.5289,0.0,0.0,0.0,0.0,0.0,9.1,8.6,0.0,14.659,16.613,0.0,0.0,0.0,0.0,0.0,17.8,17.6,0.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,7.9,11.9,0.0,88.0,86.0,0.0,0.0,0.0,0.0,0.0,92.1,88.1,0.0,202.5,113.7,0.0,0.0,0.0,0.0,0.0,94.5,189.9,0.0,51.75,58.6251,0.0,0.0,0.0,0.0,0.0,162.4,152.6,0.0,181.05,9164.0,6.0,0.0,1.0,6.0,189.0,0.0,35.0,202.0,1.0
2024-03-15,3.7377,3.5167,0.0,0.0,0.0,0.0,0.0,9.2,8.7,0.0,16.454,15.071,0.0,0.0,0.0,0.0,0.0,19.5,19.3,0.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,7.7,10.9,0.0,91.0,85.0,0.0,0.0,0.0,0.0,0.0,92.3,89.1,0.0,202.5,113.7,0.0,0.0,0.0,0.0,0.0,217.4,232.1,0.0,61.5,53.0,0.0,0.0,0.0,0.0,0.0,181.1,168.5,0.0,484.5,11231.0,6.0,0.0,1.0,6.0,232.0,0.0,53.0,238.0,0.0
2024-03-16,3.4704,3.3978,0.0,0.0,0.0,0.0,0.0,9.0,8.5,9.902015023,21.251,20.712,0.0,0.0,0.0,0.0,0.0,18.3,19.3,7.249,19.0,13.0,0.0,0.0,0.0,0.0,0.0,9.3,15.0,17.35680751,81.0,87.0,0.0,0.0,0.0,0.0,0.0,90.7,85.0,82.64319249,202.5,113.7,0.0,0.0,0.0,0.0,0.0,294.4,278.4,241.5,73.75,70.3749,0.0,0.0,0.0,0.0,0.0,164.9,164.7,71.77970691,326.4,8853.0,5.0,0.0,1.0,6.0,149.0,0.0,39.0,209.0,62.9
2024-03-17,3.5312,1.5511,0.0,0.0,0.0,0.0,0.0,9.4,9.2,9.902015023,4.531,10.396,0.0,0.0,0.0,0.0,0.0,10.6,10.5,9.55,14.0,14.0,0.0,0.0,0.0,0.0,0.0,7.5,4.8,17.35680751,86.0,86.0,0.0,0.0,0.0,0.0,0.0,92.5,95.2,82.64319249,202.5,113.7,0.0,0.0,0.0,0.0,0.0,339.2,158.0,241.5,16.0001,16.1251,0.0,0.0,0.0,0.0,0.0,99.5,97.8,94.56424347,89.25,7490.0,5.0,0.0,1.0,6.0,141.0,0.0,26.0,175.0,26.9
2024-03-18,3.0655,9.2572,0.0,0.0,0.0,0.0,0.0,8.8,9.1,9.902015023,10.235,2.309,0.0,0.0,0.0,0.0,0.0,13.0,13.7,13.131,26.0,76.0,0.0,0.0,0.0,0.0,0.0,10.8,12.4,17.35680751,74.0,24.0,0.0,0.0,0.0,0.0,0.0,89.2,87.6,82.64319249,202.5,113.7,0.0,0.0,0.0,0.0,0.0,201.9,144.4,219.2,31.3749,21.3749,0.0,0.0,0.0,0.0,0.0,114.8,125.0,130.0233593,450.075,13256.0,8.0,1.0,1.0,5.0,276.0,34.0,62.0,250.0,0.7
2024-03-19,3.2353,3.3714,0.0,0.0,0.0,0.0,0.0,8.9,9.3,9.902015023,16.768,13.644,0.0,0.0,0.0,0.0,0.0,19.1,19.1,19.037,27.0,23.0,0.0,0.0,0.0,0.0,0.0,10.5,9.9,17.35680751,73.0,77.0,0.0,0.0,0.0,0.0,0.0,89.5,90.1,82.64319249,202.5,113.7,0.0,0.0,0.0,0.0,0.0,201.9,159.3,60.6,54.2501,46.0,0.0,0.0,0.0,0.0,0.0,170.7,178.9,188.50466,304.725,13086.0,7.0,1.0,1.0,6.0,328.0,32.0,54.0,224.0,0.0
2024-03-20,2.919,3.2791,0.0,0.0,0.0,0.0,0.0,8.6,9.5,9.902015023,14.774,22.148,0.0,0.0,0.0,0.0,0.0,18.8,18.8,18.495,29.0,22.0,0.0,0.0,0.0,0.0,0.0,11.7,8.0,17.35680751,71.0,78.0,0.0,0.0,0.0,0.0,0.0,88.3,92.0,82.64319249,202.5,113.7,0.0,0.0,0.0,0.0,0.0,255.3,189.9,247.7,43.125,72.6248,0.0,0.0,0.0,0.0,0.0,163.7,179.0,183.1377679,290.7,9506.0,9.0,1.0,1.0,6.0,254.0,36.0,41.0,141.0,0.5
2024-03-21,3.4905,3.075,0.0,0.0,0.0,0.0,0.0,7.9,9.1,9.902015023,16.76,13.821,0.0,0.0,0.0,0.0,0.0,17.5,16.9,14.092,21.0,18.0,0.0,0.0,0.0,0.0,0.0,17.1,12.4,17.35680751,79.0,82.0,0.0,0.0,0.0,0.0,0.0,82.9,87.6,82.64319249,202.5,113.7,0.0,0.0,0.0,0.0,0.0,201.9,163.3,269.5,58.5001,42.5,0.0,0.0,0.0,0.0,0.0,138.5,154.4,139.5391957,369.75,12226.0,8.0,1.0,1.0,4.0,350.0,3.0,58.0,202.0,0.0
2024-03-22,3.4777,3.6069,0.0,0.0,0.0,0.0,0.0,8.6,9.2,9.902015023,18.942,16.219,0.0,0.0,0.0,0.0,0.0,19.4,19.4,19.081,17.0,20.0,0.0,0.0,0.0,0.0,0.0,9.3,11.3,17.35680751,83.0,80.0,0.0,0.0,0.0,0.0,0.0,90.7,88.7,82.64319249,202.5,113.7,0.0,0.0,0.0,0.0,0.0,236.9,189.9,241.5,65.875,58.4998,0.0,0.0,0.0,0.0,0.0,168.8,178.9,188.9403487,427.125,13102.0,9.0,0.0,1.0,5.0,333.0,0.0,64.0,241.0,0.0
2024-03-27,3.9908,3.7745,0.0,0.0,0.0,0.0,0.0,8.9,9.3,9.902015023,13.124,18.181,0.0,0.0,0.0,0.0,0.0,18.8,19.1,15.35,26.0,21.0,0.0,0.0,0.0,0.0,0.0,9.6,6.8,17.35680751,74.0,79.0,0.0,0.0,0.0,0.0,0.0,90.4,93.2,82.64319249,202.5,113.7,0.0,0.0,0.0,0.0,0.0,401.7,380.3,241.5,52.375,68.625,0.0,0.0,0.0,0.0,0.0,168.4,178.8,151.9959306,464.1,14043.0,8.0,0.0,1.0,5.0,334.0,0.0,60.0,279.0,0.0
2024-03-28,3.0835,4.5797,0.0,0.0,0.0,0.0,0.0,8.7,9.0,9.902015023,13.945,14.821,0.0,0.0,0.0,0.0,0.0,19.2,19.3,19.221,23.0,24.0,0.0,0.0,0.0,0.0,0.0,10.9,11.4,17.35680751,77.0,76.0,0.0,0.0,0.0,0.0,0.0,89.1,88.6,82.64319249,202.5,113.7,0.0,0.0,0.0,0.0,0.0,206.7,159.9,221.8,43.0001,67.875,0.0,0.0,0.0,0.0,0.0,166.8,174.8,190.3266308,545.7,13643.0,7.0,0.0,1.0,5.0,366.0,0.0,68.0,239.0,0.0
2024-03-29,3.4407,0.0,0.0,0.0,0.0,0.0,0.0,8.5,9.5,9.902015023,13.878,0.0,0.0,0.0,0.0,0.0,0.0,19.1,19.1,19.297,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,7.3,17.35680751,86.0,0.0,0.0,0.0,0.0,0.0,0.0,89.5,92.7,82.64319249,202.5,0.0,0.0,0.0,0.0,0.0,0.0,201.1,235.2,320.6,47.7499,0.0,0.0,0.0,0.0,0.0,0.0,162.7,181.8,191.0791839,410.55,13161.0,8.0,0.0,1.0,5.0,376.0,0.0,60.0,223.0,0.0
2024-03-30,3.5008,0.0,0.0,0.0,0.0,0.0,0.0,8.7,9.5,9.902015023,17.032,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.1,19.193,18.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,7.9,17.35680751,82.0,0.0,0.0,0.0,0.0,0.0,0.0,90.5,92.1,82.64319249,167.3,0.0,0.0,0.0,0.0,0.0,0.0,245.3,228.2,289.1,59.6249,0.0,0.0,0.0,0.0,0.0,0.0,166.7,182.1,190.0493743,75.225,13716.0,8.0,0.0,1.0,5.0,391.0,0.0,57.0,238.0,0.0
2024-03-31,3.4477,0.0,0.0,0.0,0.0,0.0,0.0,8.2,9.3,9.902015023,11.167,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.2,13.953,17.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,12.0,17.35680751,83.0,0.0,0.0,0.0,0.0,0.0,0.0,87.7,88.0,82.64319249,202.5,0.0,0.0,0.0,0.0,0.0,0.0,203.7,138.8,331.7,38.4999,0.0,0.0,0.0,0.0,0.0,0.0,107.7,132.2,138.1628156,112.2,6842.0,6.0,0.0,1.0,4.0,185.0,0.0,32.0,121.0,0.2
2024-04-01,3.3249,0.0,0.0,0.0,0.0,0.0,0.0,8.8,9.0,9.902015023,14.286,0.0,0.0,0.0,0.0,0.0,0.0,14.3,13.3,14.271,18.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,11.3,17.35680751,82.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9,88.7,82.64319249,202.5,0.0,0.0,0.0,0.0,0.0,0.0,225.0,189.9,225.6,47.5,0.0,0.0,0.0,0.0,0.0,0.0,126.1,120.4,141.3116564,294.525,11442.0,7.0,0.0,1.0,5.0,248.0,0.0,54.0,236.0,0.0
2024-04-02,3.2659,3.209309957,0.0,0.0,0.0,0.0,0.0,8.7,9.0,9.902015023,11.291,1.288,0.0,0.0,0.0,0.0,0.0,19.1,16.8,18.888,17.0,21.91341991,0.0,0.0,0.0,0.0,0.0,11.0,8.9,17.35680751,83.0,78.08658009,0.0,0.0,0.0,0.0,0.0,89.0,91.1,82.64319249,202.5,113.7,0.0,0.0,0.0,0.0,0.0,183.1,151.6,257.1,36.875,4.133591224,0.0,0.0,0.0,0.0,0.0,167.6,151.8,187.0292598,410.55,12355.0,8.0,0.0,1.0,5.0,318.0,0.0,55.0,230.0,0.0
2024-04-04,2.6769,2.7101,0.0,0.0,0.0,0.0,0.0,8.2,8.1,9.902015023,8.125,19.28,0.0,0.0,0.0,0.0,0.0,16.5,16.1,16.344,16.0,18.0,0.0,0.0,0.0,0.0,0.0,14.5,17.4,17.35680751,84.0,82.0,0.0,0.0,0.0,0.0,0.0,85.5,82.6,82.64319249,204.2,113.7,0.0,0.0,0.0,0.0,0.0,190.2,31.7,313.6,21.7501,52.2501,0.0,0.0,0.0,0.0,0.0,136.4,130.5,161.8385335,198.9,9906.0,8.0,0.0,0.0,5.0,277.0,0.0,0.0,213.0,39.1
2024-04-05,3.2553,3.8555,0.0,0.0,0.0,0.0,0.0,8.6,8.9,9.902015023,17.51,13.163,0.0,0.0,0.0,0.0,0.0,18.6,18.6,18.599,32.0,41.0,0.0,0.0,0.0,0.0,0.0,11.8,10.8,17.35680751,68.0,59.0,0.0,0.0,0.0,0.0,0.0,88.2,89.2,82.64319249,202.5,113.7,0.0,0.0,0.0,0.0,0.0,328.8,157.8,241.5,56.9999,50.7501,0.0,0.0,0.0,0.0,0.0,161.7,165.4,184.1675774,357.0,11202.0,9.0,0.0,0.0,5.0,340.0,0.0,0.0,226.0,0.0
2024-04-07,3.3621,1.7688,0.0,0.0,0.0,0.0,0.0,7.4,9.3,14.3591,15.764,0.848,0.0,0.0,0.0,0.0,0.0,13.9,13.8,10.751,18.0,59.0,0.0,0.0,0.0,0.0,0.0,23.7,9.4,15.0,82.0,41.0,0.0,0.0,0.0,0.0,0.0,76.3,90.6,85.0,202.5,113.7,0.0,0.0,0.0,0.0,0.0,240.8,172.0,189.1,53.0,1.5,0.0,0.0,0.0,0.0,0.0,104.3,129.1,154.375,220.575,4335.0,4.0,0.0,0.0,5.0,82.0,0.0,0.0,115.0,0.0
2024-04-08,3.0708,0.0,0.0,0.0,0.0,0.0,0.0,8.7,9.2,7.5248,12.904,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.2,13.605,21.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,9.2,10.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,89.3,90.8,90.0,202.5,0.0,0.0,0.0,0.0,0.0,0.0,83.9,88.6,241.5,39.625,0.0,0.0,0.0,0.0,0.0,0.0,122.5,132.7,102.3748,360.825,10623.0,6.0,0.0,1.0,5.0,228.0,0.0,30.0,239.0,0.0
2024-04-09,3.3368,0.0,0.0,0.0,0.0,0.0,0.0,8.3,9.4,10.4915,14.123,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.2,19.206,17.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,6.8,11.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,87.9,93.2,89.0,202.5,0.0,0.0,0.0,0.0,0.0,0.0,138.0,212.9,296.5,47.1251,0.0,0.0,0.0,0.0,0.0,0.0,158.9,182.0,201.4998,242.25,10972.0,7.0,0.0,1.0,5.0,247.0,0.0,52.0,221.0,0.0
2024-04-10,3.2749,0.0,0.0,0.0,0.0,0.0,0.0,8.1,9.3,10.5186,14.199,0.0,0.0,0.0,0.0,0.0,0.0,18.1,19.1,19.727,22.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,7.9,9.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,87.3,92.1,91.0,202.5,0.0,0.0,0.0,0.0,0.0,0.0,201.9,189.9,273.0,46.5001,0.0,0.0,0.0,0.0,0.0,0.0,146.8,178.1,207.5,210.375,11726.0,9.0,0.0,1.0,5.0,279.0,0.0,50.0,233.0,0.0
