date;hours_machine;idle_percentage;operating_percentage;total_fuel;gal_hour;shovel;performance;coal_prod;waste_prod;haul_truck_15.0m3;haul_truck_24.0m3;haul_truck_25.0m3;haul_truck_27.0m3;truck_trips_15.0m3;truck_trips_24.0m3;truck_trips_25.0m3;truck_trips_27.0m3;rainfall_mm
2024-02-25;11.713;7;93;51.625;4.4075;CAT 320-1;202.5;230.775;7161;9;1;1;6;196;19;21;120;7.6
2024-02-26;14.073;7;93;59.1249;4.2013;CAT 320-1;187.3;167.025;10956;10;1;1;6;302;37;39;169;0
2024-02-27;14.196;7;93;61.2499;4.3146;CAT 320-1;157.1;414.375;12544;11;1;1;6;335;41;40;205;41.1
2024-02-28;18.698;7;93;80.3749;4.2986;CAT 320-1;182.8;251.175;13027;9;1;1;6;325;44;43;223;0
2024-02-29;19.145;8;92;81.2501;4.2439;CAT 320-1;174.2;314.925;14098;9;2;1;6;312;54;43;261;0
2024-03-01;14.598;8;92;62.1251;4.2557;CAT 320-1;174.4;414.375;15436;8;1;1;6;415;60;43;248;0
2024-03-02;20.081;10;90;83.7499;4.1706;CAT 320-1;202.5;459;14919;9;1;1;6;346;56;33;280;0
2024-03-03;19.252;8;92;83.9998;4.3632;CAT 320-1;202.5;255;6973;8;1;1;6;169;28;7;133;0
2024-03-04;5.188;13;87;21.6249;4.1682;CAT 320-1;202.5;267.75;12244;9;1;1;6;251;47;37;238;0
2024-03-06;18.751;7;93;77.25;4.1198;CAT 320-1;202.5;522.75;11913;7;1;1;6;177;45;42;264;0
2024-03-08;10.954;10;90;43.125;3.9369;CAT 320-1;202.5;424.575;11214;8;1;1;5;236;51;42;200;13.9
2024-03-11;9.014;9;91;29.625;3.2866;CAT 320-1;165.6;357;11226;6;1;1;4;288;65;27;173;6.8
2024-03-12;18.079;18;82;54.5;3.0145;CAT 320-1;505.3;427.125;12281;7;1;1;4;336;19;23;230;0
2024-03-13;19.728;16;84;71.375;3.618;CAT 320-1;194.5;363.375;8005;7;0;1;4;216;0;34;145;1.3
2024-03-14;14.659;12;88;51.75;3.5303;CAT 320-1;202.5;181.05;9164;6;0;1;6;189;0;35;202;1
2024-03-15;16.454;9;91;61.5;3.7377;CAT 320-1;202.5;484.5;11231;6;0;1;6;232;0;53;238;0
2024-03-16;21.251;19;81;73.75;3.4704;CAT 320-1;202.5;326.4;8853;5;0;1;6;149;0;39;209;62.9
2024-03-17;4.531;14;86;16.0001;3.5312;CAT 320-1;202.5;89.25;7490;5;0;1;6;141;0;26;175;26.9
2024-03-18;10.235;26;74;31.3749;3.0655;CAT 320-1;202.5;450.075;13256;8;1;1;5;276;34;62;250;0.7
2024-03-19;16.768;27;73;54.2501;3.2353;CAT 320-1;202.5;304.725;13086;7;1;1;6;328;32;54;224;0
2024-03-20;14.774;29;71;43.125;2.919;CAT 320-1;202.5;290.7;9506;9;1;1;6;254;36;41;141;0.5
2024-03-21;16.76;21;79;58.5001;3.4905;CAT 320-1;202.5;369.75;12226;8;1;1;4;350;3;58;202;0
2024-03-22;18.942;17;83;65.875;3.4777;CAT 320-1;202.5;427.125;13102;9;0;1;5;333;0;64;241;0
2024-03-27;13.124;26;74;52.375;3.9908;CAT 320-1;202.5;464.1;14043;8;0;1;5;334;0;60;279;0
2024-03-28;13.945;23;77;43.0001;3.0835;CAT 320-1;202.5;545.7;13643;7;0;1;5;366;0;68;239;0
2024-03-29;13.878;14;86;47.7499;3.4407;CAT 320-1;202.5;410.55;13161;8;0;1;5;376;0;60;223;0
2024-03-30;17.032;18;82;59.6249;3.5008;CAT 320-1;167.3;75.225;13716;8;0;1;5;391;0;57;238;0
2024-03-31;11.167;17;83;38.4999;3.4477;CAT 320-1;202.5;112.2;6842;6;0;1;4;185;0;32;121;0.2
2024-04-01;14.286;18;82;47.5;3.3249;CAT 320-1;202.5;294.525;11442;7;0;1;5;248;0;54;236;0
2024-04-02;11.291;17;83;36.875;3.2659;CAT 320-1;202.5;410.55;12355;8;0;1;5;318;0;55;230;0
2024-04-04;8.125;16;84;21.7501;2.6769;CAT 320-1;204.2;198.9;9906;8;0;0;5;277;0;0;213;39.1
2024-04-05;17.51;32;68;56.9999;3.2553;CAT 320-1;202.5;357;11202;9;0;0;5;340;0;0;226;0
2024-04-07;15.764;18;82;53;3.3621;CAT 320-1;202.5;220.575;4335;4;0;0;5;82;0;0;115;0
2024-04-08;12.904;21;79;39.625;3.0708;CAT 320-1;202.5;360.825;10623;6;0;1;5;228;0;30;239;0
2024-04-09;14.123;17;83;47.1251;3.3368;CAT 320-1;202.5;242.25;10972;7;0;1;5;247;0;52;221;0
2024-04-10;14.199;22;78;46.5001;3.2749;CAT 320-1;202.5;210.375;11726;9;0;1;5;279;0;50;233;0
2024-04-12;18.687;13;87;62.1251;3.3245;CAT 320-1;202.5;275.4;12378;9;0;1;6;242;0;54;274;0
2024-04-15;9.877;29;71;28.4999;2.8855;CAT 320-1;202.5;267.75;4495;6;0;1;5;56;0;22;115;6
2024-04-16;9.212;13;87;37.625;4.0843;CAT 320-1;205.2;112.2;5630;4;0;1;4;120;0;29;115;0.5
2024-04-19;9.109;21;79;30.2501;3.3209;CAT 320-1;202.5;232.05;5692;9;0;1;4;183;0;25;86;3.3
2024-04-22;6.596;25;75;21.0001;3.1837;CAT 320-1;150;89.25;3162;7;1;1;4;76;13;9;55;5.8
2024-04-25;8.299;26;74;25.5;3.0727;CAT 320-1;202.5;267.75;6004;7;1;1;4;130;34;28;94;1.7
2024-04-26;8.868;28;72;27.7499;3.1292;CAT 320-1;202.5;210.375;8466;9;2;1;4;217;41;33;126;14.4
2024-04-27;8.296;33;67;24.9999;3.0135;CAT 320-1;148.4;237.15;6683;6;2;1;4;162;34;23;106;0.7
2024-04-28;9.251;22;78;31.125;3.3645;CAT 320-1;202.5;153;7494;6;3;1;4;131;83;27;106;1.2
2024-05-01;8.929;17;83;30.2501;3.3878;CAT 320-1;202.5;198.9;8946;10;3;0;3;309;84;0;85;0
2024-05-03;8.466;25;75;28.375;3.3516;CAT 320-1;154.6;229.5;8631;10;3;0;4;235;80;0;118;0
2024-05-07;9.234;6;94;36.5001;3.9528;CAT 320-1;202.5;181.05;7008;7;3;0;3;156;91;0;92;3.5
2024-05-08;8.996;19;81;30.1249;3.3487;CAT 320-1;202.5;149.175;7029;8;3;0;4;193;71;0;90;39.3
2024-05-09;8.043;17;83;28.375;3.5279;CAT 320-1;202.5;68.85;4845;9;3;0;3;166;43;0;49;19.3
2024-05-10;9.025;20;80;29.8749;3.3102;CAT 320-1;202.5;95.625;6142.5;9;3;0;3;208.5;39;0;77;0.5
2024-05-11;9.285;18;82;32.625;3.5137;CAT 320-1;202.5;70.125;6951;7;2;0;2;245;60;0;68;0.2
2024-05-13;8.825;21;79;28.8751;3.272;CAT 320-1;202.5;118.575;8230;9;3;1;3;232;72;28;86;0
2024-05-14;9.082;14;86;32.5;3.5785;CAT 320-1;202.5;249.9;8976;10;2;1;3;283;59;30;95;19
2024-05-17;9.262;21;79;32.1249;3.4685;CAT 320-1;202.5;221.85;7124;7;2;1;3;154;59;29;99;1.2
2024-05-18;9.374;18;82;30.5;3.2537;CAT 320-1;202.5;149.175;6473;7;2;1;3;124;52;32;95;0
2024-05-25;8.863;24;76;28.6249;3.2297;CAT 320-1;202.5;459;4800;6;2;1;3;60;52;24;76;10.6
2024-05-26;6.024;13;87;19.5001;3.2371;CAT 320-1;202.5;405.45;5933;5;2;1;3;122;57;23;80;3.3
2024-05-31;8.89;21;79;29.9999;3.3746;CAT 320-1;202.5;293.25;5445;8;2;1;2;115;63;30;54;4.3
2024-06-18;9.328;11;89;31.3749;3.3635;CAT 320-1;134.9;196.35;4325;5;1;1;1;141;5;35;45;32.5
2024-06-20;9.234;19;81;30.7499;3.3301;CAT 320-1;202.5;242.25;4867;5;1;1;1;150;34;31;38;1.2
2024-07-02;8.74;43;57;21.875;2.5029;CAT 320-1;202.5;149.175;5559;8;1;1;1;208;27;36;33;9.1
2024-07-06;9.236;30;70;25.7499;2.788;CAT 320-1;202.5;156.825;6938;10;1;1;1;312;29;29;31;0
2024-08-01;9.335;12;88;33.375;3.5753;CAT 320-1;202.5;265.2;4912;7;1;1;1;133;38;37;40;2
2024-08-02;9.228;18;82;30.2501;3.2781;CAT 320-1;202.5;261.375;5125;6;1;1;2;130;42;37;46;6
2024-08-03;9.358;15;85;36;3.847;CAT 320-1;202.5;238.425;5321;6;1;1;2;103;39;38;70;0
2024-08-04;9.441;16;84;31.4999;3.3365;CAT 320-1;202.5;96.9;5756;6;1;1;2;160;30;32;68;0
2024-08-05;9.348;13;87;36;3.8511;CAT 320-1;202.5;183.6;3847;6;2;1;2;115;29;16;38;3.3
2024-08-10;5.121;26;74;15.3751;3.0024;CAT 320-1;202.5;116.025;4591.5;7;1;1;2;144;24;24;46.5;35.8
2024-08-11;8.035;16;84;29.625;3.687;CAT 320-1;202.5;200.175;4401;6;1;1;2;105;30;27;53;3.5
2024-08-13;9.212;13;87;34;3.6908;CAT 320-1;202.5;381.225;6367;9;2;1;2;209;56;28;44;0.3
2024-08-17;9.214;9;91;33.375;3.6222;CAT 320-1;202.5;291.55;6029;7;2;1;2;141;62;29;63;0
2024-08-25;9.341;16;84;32.7499;3.506;CAT 320-1;202.5;203.15;4667;8;1;1;3;103;29;29;63;0.5
2024-08-27;9.284;28;72;29.625;3.191;CAT 320-1;202.5;167.11;5891;5;2;1;3;113;72;35;59;1.7
2024-08-29;9.107;35;65;26.0001;2.855;CAT 320-1;334.9;372.861;5470;7;2;1;3;100;43;16;94;0.2
2025-02-28;11.24;19;81;32.8749;2.9248;CAT 320-1;202.5;365.925;14414;11;1;1;4;457;57;50;183;1.5
2025-03-01;16.615;29;71;42.5;2.5579;CAT 320-1;202.5;313.65;14763.5;11;1;1;4;445;54;53;202.5;2
2024-02-25;12.7;23.7;76.3;123.19;9.7;CAT 320-2;175.4;230.775;7161;9;1;1;6;196;19;21;120;7.6
2024-02-27;14.4;23.7;76.3;139.68;9.7;CAT 320-2;91.4;414.375;12544;11;1;1;6;335;41;40;205;41.1
2024-02-28;19.5;23.7;76.3;189.15;9.7;CAT 320-2;162;251.175;13027;9;1;1;6;325;44;43;223;0
2024-03-06;9.557;30;70;24.875;2.6028;CAT 320-2;113.7;522.75;11913;7;1;1;6;177;45;42;264;0
2024-03-08;11.59;18;82;39.2499;3.3865;CAT 320-2;113.7;424.575;11214;8;1;1;5;236;51;42;200;13.9
2024-03-11;5.002;15;85;19.125;3.8235;CAT 320-2;113.7;357;11226;6;1;1;4;288;65;27;173;6.8
2024-03-12;17.49;19;81;56.2499;3.2161;CAT 320-2;113.7;427.125;12281;7;1;1;4;336;19;23;230;0
2024-03-13;10.816;17;83;33.25;3.0741;CAT 320-2;113.7;363.375;8005;7;0;1;4;216;0;34;145;1.3
2024-03-14;16.613;14;86;58.6251;3.5289;CAT 320-2;113.7;181.05;9164;6;0;1;6;189;0;35;202;1
2024-03-15;15.071;15;85;53;3.5167;CAT 320-2;113.7;484.5;11231;6;0;1;6;232;0;53;238;0
2024-03-16;20.712;13;87;70.3749;3.3978;CAT 320-2;113.7;326.4;8853;5;0;1;6;149;0;39;209;62.9
2024-03-17;10.396;14;86;16.1251;1.5511;CAT 320-2;113.7;89.25;7490;5;0;1;6;141;0;26;175;26.9
2024-03-18;2.309;76;24;21.3749;9.2572;CAT 320-2;113.7;450.075;13256;8;1;1;5;276;34;62;250;0.7
2024-03-19;13.644;23;77;46;3.3714;CAT 320-2;113.7;304.725;13086;7;1;1;6;328;32;54;224;0
2024-03-20;22.148;22;78;72.6248;3.2791;CAT 320-2;113.7;290.7;9506;9;1;1;6;254;36;41;141;0.5
2024-03-21;13.821;18;82;42.5;3.075;CAT 320-2;113.7;369.75;12226;8;1;1;4;350;3;58;202;0
2024-03-22;16.219;20;80;58.4998;3.6069;CAT 320-2;113.7;427.125;13102;9;0;1;5;333;0;64;241;0
2024-03-27;18.181;21;79;68.625;3.7745;CAT 320-2;113.7;464.1;14043;8;0;1;5;334;0;60;279;0
2024-03-28;14.821;24;76;67.875;4.5797;CAT 320-2;113.7;545.7;13643;7;0;1;5;366;0;68;239;0
2024-04-02;1.288;21.91341991;78.08658009;4.133591224;3.209309957;CAT 320-2;113.7;410.55;12355;8;0;1;5;318;0;55;230;0
2024-04-04;19.28;18;82;52.2501;2.7101;CAT 320-2;113.7;198.9;9906;8;0;0;5;277;0;0;213;39.1
2024-04-05;13.163;41;59;50.7501;3.8555;CAT 320-2;113.7;357;11202;9;0;0;5;340;0;0;226;0
2024-04-07;0.848;59;41;1.5;1.7688;CAT 320-2;113.7;220.575;4335;4;0;0;5;82;0;0;115;0
2024-04-15;9.216;15;85;39;4.2318;CAT 320-2;113.7;267.75;4495;6;0;1;5;56;0;22;115;6
2024-04-16;9.308;21;79;34.3749;3.693;CAT 320-2;113.7;112.2;5630;4;0;1;4;120;0;29;115;0.5
2024-04-19;8.896;15;85;32.3751;3.6393;CAT 320-2;113.7;232.05;5692;9;0;1;4;183;0;25;86;3.3
2024-04-22;7.131;19;81;26.7501;3.7512;CAT 320-2;101.2;89.25;3162;7;1;1;4;76;13;9;55;5.8
2024-04-25;1.685;56;44;2.9999;1.7804;CAT 320-2;113.7;267.75;6004;7;1;1;4;130;34;28;94;1.7
2024-04-26;3.872;19;81;15.5;4.0031;CAT 320-2;113.7;210.375;8466;9;2;1;4;217;41;33;126;14.4
2024-04-27;9.264;18;82;32.8749;3.5487;CAT 320-2;113.7;237.15;6683;6;2;1;4;162;34;23;106;0.7
2024-04-28;8.286;19;81;31.75;3.8318;CAT 320-2;113.7;153;7494;6;3;1;4;131;83;27;106;1.2
2024-05-01;4.829;21.91341991;78.08658009;15.49775778;3.209309957;CAT 320-2;113.7;198.9;8946;10;3;0;3;309;84;0;85;0
2024-05-03;0.841;24;76;3.3751;4.0131;CAT 320-2;113.7;229.5;8631;10;3;0;4;235;80;0;118;0
2024-05-07;6.189;17;83;24.125;3.898;CAT 320-2;113.7;181.05;7008;7;3;0;3;156;91;0;92;3.5
2024-05-08;2.734;71;29;4.125;1.5088;CAT 320-2;113.7;149.175;7029;8;3;0;4;193;71;0;90;39.3
2024-05-09;4.382;26;74;12.9999;2.9667;CAT 320-2;113.7;68.85;4845;9;3;0;3;166;43;0;49;19.3
2024-05-10;7.067;14;86;24.5001;3.4668;CAT 320-2;113.7;95.625;6142.5;9;3;0;3;208.5;39;0;77;0.5
2024-05-11;7.541;15;85;21.7501;2.8842;CAT 320-2;113.7;70.125;6951;7;2;0;2;245;60;0;68;0.2
2024-07-02;9.814;15;85;34.5001;3.5154;CAT 320-2;113.7;149.175;5559;8;1;1;1;208;27;36;33;9.1
2024-07-06;8.506;11;89;35.5;4.1735;CAT 320-2;113.7;156.825;6938;10;1;1;1;312;29;29;31;0
2024-08-05;7.6;23.7;76.3;73.72;9.7;CAT 320-2;137.5;183.6;3847;6;2;1;2;115;29;16;38;3.3
2024-08-10;7.194;15;85;23.8751;3.3187;CAT 320-2;113.7;116.025;4591.5;7;1;1;2;144;24;24;46.5;35.8
2024-08-11;9.021;20;80;27.8749;3.09;CAT 320-2;113.7;200.175;4401;6;1;1;2;105;30;27;53;3.5
2024-08-13;9.139;18;82;28.375;3.1048;CAT 320-2;113.7;381.225;6367;9;2;1;2;209;56;28;44;0.3
2024-08-17;9.118;22;78;27.625;3.0297;CAT 320-2;113.7;291.55;6029;7;2;1;2;141;62;29;63;0
2024-08-25;9.763;25;75;39.9999;4.0971;CAT 320-2;113.7;203.15;4667;8;1;1;3;103;29;29;63;0.5
2024-08-27;9.101;22;78;28.7501;3.159;CAT 320-2;113.7;167.11;5891;5;2;1;3;113;72;35;59;1.7
2024-08-29;9.252;21;79;29.125;3.148;CAT 320-2;79.7;372.861;5470;7;2;1;3;100;43;16;94;0.2
2024-10-17;11.472;28;72;30.6249;2.6695;CAT 320-2;48.8;205.275;7631;9;3;1;3;190;98;14;77;1
2024-04-15;6.077;30;70;41.875;6.8907;CAT 336-3;411.7;267.75;4495;6;0;1;5;56;0;22;115;6
2024-04-16;1.102;45;55;3.7499;3.4028;CAT 336-3;272.7;112.2;5630;4;0;1;4;120;0;29;115;0.5
2024-04-19;5.496;82;18;9.6251;1.7513;CAT 336-3;206.4;232.05;5692;9;0;1;4;183;0;25;86;3.3
2024-04-22;2.933;58;42;10.75;3.6652;CAT 336-3;206.4;89.25;3162;7;1;1;4;76;13;9;55;5.8
2024-04-25;9.507;8;92;79.375;8.3491;CAT 336-3;175.2;267.75;6004;7;1;1;4;130;34;28;94;1.7
2024-04-26;9.561;9;91;82.25;8.6027;CAT 336-3;354.8;210.375;8466;9;2;1;4;217;41;33;126;14.4
2024-04-27;9.054;14;86;72.25;7.9799;CAT 336-3;117.2;237.15;6683;6;2;1;4;162;34;23;106;0.7
2024-04-28;6.784;8;92;59.8748;8.8259;CAT 336-3;206.4;153;7494;6;3;1;4;131;83;27;106;1.2
2024-05-01;9.381;11;89;76.1249;8.1148;CAT 336-3;206.4;198.9;8946;10;3;0;3;309;84;0;85;0
2024-05-03;9.328;7;93;83.8749;8.9917;CAT 336-3;151.6;229.5;8631;10;3;0;4;235;80;0;118;0
2024-05-07;8.597;12;88;69.8751;8.1278;CAT 336-3;269.7;181.05;7008;7;3;0;3;156;91;0;92;3.5
2024-05-08;8.939;11;89;72.0001;8.0546;CAT 336-3;239.5;149.175;7029;8;3;0;4;193;71;0;90;39.3
